City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tyukhtet,56.5389,89.3011,289.46,97,100,0.93,RU,1690630461
1,edinburgh of the seven seas,-37.0676,-12.3116,287.81,88,97,11.61,SH,1690630461
2,udachny,66.4167,112.4,299.51,25,0,2.58,RU,1690630461
3,okap,19.7578,-72.2042,300.5,75,98,1.19,HT,1690630461
4,waitangi,-43.9535,-176.5597,283.05,96,82,1.79,NZ,1690630461
5,vila velha,-20.3297,-40.2925,295.9,85,40,3.6,BR,1690630388
6,hami,42.8,93.45,310.44,15,87,13.1,CN,1690630461
7,qaqortoq,60.7167,-46.0333,281.57,68,98,3.35,GL,1690630461
8,tofol,5.3248,163.0078,301.71,78,9,4.81,FM,1690630461
9,ceeldheer,3.8488,47.1806,301.96,60,42,11.0,SO,1690630201
10,bethel,41.3712,-73.414,297.88,83,40,0.45,US,1690630462
11,ooty,11.4,76.7,288.9,76,95,3.02,IN,1690630462
12,una,20.8167,71.0333,301.31,78,75,9.1,IN,1690630462
13,tamanrasset,22.785,5.5228,310.1,8,0,3.6,DZ,1690630462
14,altamira,-3.2033,-52.2064,299.2,94,0,0.0,BR,1690630443
15,sakakah,29.9697,40.2064,314.91,7,0,6.82,SA,1690630462
16,kununurra,-15.7667,128.7333,298.14,65,100,1.54,AU,1690630401
17,thompson,55.7435,-97.8558,284.24,93,20,2.57,CA,1690630214
18,jamestown,42.097,-79.2353,295.92,97,100,3.6,US,1690630403
19,atafu village,-8.5421,-172.5159,301.59,75,69,6.98,TK,1690630462
20,grytviken,-54.2811,-36.5092,271.69,90,100,6.5,GS,1690630462
21,port-aux-francais,-49.35,70.2167,275.93,64,48,14.44,TF,1690630462
22,kodiak,57.79,-152.4072,285.88,94,100,3.09,US,1690630463
23,afaahiti,-17.75,-149.2833,295.08,82,89,10.06,PF,1690630463
24,tazacorte,28.629,-17.9293,298.69,72,40,6.69,ES,1690630463
25,mwinilunga,-11.7358,24.4293,305.59,12,0,0.13,ZM,1690630463
26,blackmans bay,-43.0167,147.3167,286.22,66,43,4.43,AU,1690630463
27,coquimbo,-29.9533,-71.3436,287.36,84,30,1.46,CL,1690630413
28,antalaha,-14.9003,50.2788,298.42,58,3,7.22,MG,1690630463
29,klyuchi,52.2667,79.1667,299.85,50,94,3.65,RU,1690630463
30,colonia,50.9333,6.95,296.38,78,20,3.6,DE,1690630463
31,wailua homesteads,22.0669,-159.378,299.59,84,20,7.2,US,1690630463
32,vorgashor,67.5833,63.95,294.01,54,6,3.38,RU,1690630463
33,pervomayskoye,43.919,46.7102,303.88,30,7,4.46,RU,1690630464
34,inarajan village,13.2736,144.7484,301.69,93,92,2.84,GU,1690630464
35,antofagasta,-23.65,-70.4,289.75,78,50,0.36,CL,1690630464
36,north shore,-36.8,174.75,284.16,79,14,0.89,NZ,1690630267
37,pointe aux piments,-20.0628,57.5131,298.44,67,29,7.88,MU,1690630464
38,avarua,-21.2078,-159.775,297.18,78,100,8.75,CK,1690630352
39,heber springs,35.4915,-92.0313,299.33,73,0,1.14,US,1690630464
40,mohr,54.3528,9.7167,296.46,70,100,6.69,DE,1690630464
41,bredasdorp,-34.5322,20.0403,284.09,85,100,8.07,ZA,1690630464
42,paphos,34.7667,32.4167,306.06,62,20,4.63,CY,1690630448
43,waingapu,-9.6567,120.2641,296.78,84,6,3.83,ID,1690630464
44,carnarvon,-24.8667,113.6333,290.25,62,0,7.23,AU,1690630464
45,papatowai,-46.5619,169.4708,282.38,84,93,2.26,NZ,1690630465
46,revda,56.801,59.9303,300.66,40,1,1.45,RU,1690630465
47,muravlenko,63.7898,74.523,294.64,68,79,7.33,RU,1690630465
48,isafjordur,66.0755,-23.124,282.17,76,100,4.63,IS,1690630465
49,konarka,19.9,86.1167,303.37,72,100,3.9,IN,1690630465
50,veinticinco de mayo,-35.4323,-60.1727,281.47,89,97,1.34,AR,1690630465
51,west island,-12.1568,96.8225,298.14,78,40,8.23,CC,1690630465
52,kapuskasing,49.4169,-82.4331,282.2,100,75,1.54,CA,1690630465
53,druzhba,52.0428,33.9453,296.87,47,2,4.48,UA,1690630465
54,acarau,-2.8856,-40.12,302.19,59,33,6.93,BR,1690630465
55,port elizabeth,-33.918,25.5701,290.98,67,75,3.6,ZA,1690630466
56,ushuaia,-54.8,-68.3,282.96,53,75,3.09,AR,1690630466
57,lloydminster,53.2835,-110.0016,284.27,93,100,3.09,CA,1690630220
58,codrington,-38.2667,141.9667,283.62,90,0,6.75,AU,1690630466
59,yellowknife,62.456,-114.3525,286.44,94,100,0.0,CA,1690630382
60,olonkinbyen,70.9221,-8.7187,279.07,96,100,2.72,SJ,1690630466
61,tateyama,34.9833,139.8667,299.82,88,14,4.94,JP,1690630466
62,puerto natales,-51.7236,-72.4875,275.74,96,86,2.46,CL,1690630466
63,sumberpucung,-8.1586,112.4829,292.6,92,89,1.55,ID,1690630466
64,cotonou,6.3654,2.4183,301.14,83,40,5.14,BJ,1690630302
65,east london,-33.0153,27.9116,292.67,72,20,3.09,ZA,1690630439
66,huarmey,-10.0681,-78.1522,292.89,86,59,2.67,PE,1690630466
67,puerto del rosario,28.5004,-13.8627,299.01,61,20,5.14,ES,1690630466
68,duong dong,10.2167,103.9667,302.15,94,75,5.66,VN,1690630467
69,college,64.8569,-147.8028,295.14,52,75,3.09,US,1690630467
70,alice springs,-23.7,133.8833,290.9,77,75,0.0,AU,1690630284
71,lienz,46.8289,12.769,297.7,59,73,2.77,AT,1690630467
72,acoua,-12.7239,45.0582,301.1,70,0,5.59,YT,1690630467
73,ploudalmezeau,48.5333,-4.65,291.36,82,100,3.6,FR,1690630467
74,dzhambeyty,50.2536,52.595,311.27,16,100,4.33,KZ,1690630467
75,campo mourao,-24.0456,-52.3831,290.89,81,0,2.26,BR,1690630337
76,albany,42.6001,-73.9662,297.21,87,99,1.02,US,1690630454
77,polyarnyy,69.1989,33.4478,284.79,97,100,8.15,RU,1690630467
78,ndola,-12.9587,28.6366,303.03,19,0,1.21,ZM,1690630468
79,invercargill,-46.4,168.35,281.49,93,97,0.89,NZ,1690630468
80,luanda,-8.8368,13.2343,296.15,78,75,4.12,AO,1690630381
81,fort bragg,35.139,-79.006,298.82,93,40,3.6,US,1690630468
82,newman,37.3138,-121.0208,292.18,73,59,2.14,US,1690630468
83,karratha,-20.7377,116.8463,294.84,43,30,2.22,AU,1690630468
84,adamstown,-25.066,-130.1015,291.54,60,27,10.9,PN,1690630468
85,yanbu,24.0891,38.0637,315.17,23,0,10.29,SA,1690630469
86,bodaybo,57.8506,114.1933,292.48,98,100,0.73,RU,1690630470
87,cleveland,41.4995,-81.6954,295.49,95,75,4.63,US,1690630351
88,tazovsky,67.4667,78.7,291.67,73,84,2.33,RU,1690630470
89,olyokminsk,60.3736,120.4264,296.18,62,83,2.0,RU,1690630470
90,kerch,45.3583,36.4758,298.84,46,24,2.17,UA,1690630470
91,puerto ayora,-0.7393,-90.3518,297.34,95,54,3.13,EC,1690630470
92,yeniseysk,58.4497,92.1703,291.37,95,100,2.68,RU,1690630470
93,bairnsdale,-37.8333,147.6167,283.04,77,0,2.05,AU,1690630470
94,benalla,-36.55,145.9833,283.87,86,49,1.89,AU,1690630471
95,ribeira grande,38.5167,-28.7,297.47,94,75,3.13,PT,1690630471
96,fale old settlement,-9.3852,-171.2468,301.76,66,63,8.22,TK,1690630471
97,chipinge,-20.1883,32.6236,300.76,18,23,1.25,ZW,1690630471
98,mardakan,40.4922,50.1389,300.12,65,75,12.35,AZ,1690630471
99,reghin-sat,46.7833,24.7167,300.66,40,70,2.75,RO,1690630471
100,kamaishi,39.2667,141.8833,298.2,81,9,2.67,JP,1690630472
101,arraial do cabo,-22.9661,-42.0278,294.13,88,75,6.69,BR,1690630472
102,padang,-0.9492,100.3543,303.18,87,100,1.51,ID,1690630472
103,nago,26.5881,127.9761,302.39,84,97,5.27,JP,1690630472
104,muisne,0.6,-80.0333,297.78,90,100,4.78,EC,1690630472
105,prestea,5.4327,-2.1428,300.33,77,99,3.02,GH,1690630472
106,tomatlan,19.9333,-105.25,295.43,89,52,1.84,MX,1690630472
107,hithadhoo,-0.6,73.0833,300.63,76,93,3.66,MV,1690630472
108,hasaki,35.7333,140.8333,301.65,88,1,5.81,JP,1690630472
109,stanley,54.868,-1.6985,292.7,59,20,5.66,GB,1690630473
110,vilyuysk,63.7553,121.6247,292.42,58,3,1.55,RU,1690630473
111,bodo,67.28,14.405,291.45,71,20,4.12,NO,1690630473
112,al wakrah,24.85,51.3333,319.2,15,16,4.79,QA,1690630473
113,salekhard,66.53,66.6019,296.73,41,13,4.75,RU,1690630473
114,nuuk,64.1835,-51.7216,283.49,87,75,4.12,GL,1690630473
115,filey,54.21,-0.2892,293.59,67,76,6.38,GB,1690630473
116,sandnessjoen,66.0217,12.6316,290.44,88,75,1.54,NO,1690630473
117,preobrazheniye,42.9019,133.9064,295.86,83,86,4.16,RU,1690630473
118,madang,-5.2246,145.7966,298.81,89,100,1.0,PG,1690630473
119,port mathurin,-19.6833,63.4167,296.66,78,6,6.73,MU,1690630474
120,conception bay south,47.4999,-52.9981,292.62,86,73,3.75,CA,1690630464
121,uturoa,-16.7333,-151.4333,299.31,78,5,3.99,PF,1690630474
122,constantia,44.1833,28.65,303.54,52,0,6.95,RO,1690630241
123,talnakh,69.4865,88.3972,299.38,59,95,3.41,RU,1690630474
124,la'ie,21.6477,-157.9253,299.13,77,100,1.34,US,1690630474
125,utrik,11.2278,169.8474,301.43,82,91,9.7,MH,1690630474
